id;id_evento;ts_evento;note
1;76906;2022-02-17T17:58:37;Director Tugrik
2;53142;2022-02-18T04:30:16;De-engineered Assistant red
3;48454;2022-02-17T18:45:16;Plastic Implemented transmitter
4;57941;2022-02-18T16:35:32;Soft impactful functionalities
5;38564;2022-02-18T06:25:25;West
6;37904;2022-02-18T17:03:52;plum
7;21054;2022-02-18T16:00:12;Refined Producer
8;86201;2022-02-17T20:37:31;withdrawal Small
9;54427;2022-02-18T10:43:02;Planner Chair Indiana
10;16321;2022-02-18T07:08:53;cross-platform web-readiness Kwacha
