id;id_stadio;ds_stadio;ts_cambio_stato
1;8398;Carolina benchmark technologies;2022-02-18T13:18:12
2;63360;pixel incubate;2022-02-18T01:18:12
3;86208;Bhutan Account extend;2022-02-18T09:09:17
4;62466;Usability Car;2022-02-18T15:24:06
5;57316;Object-based hard XML;2022-02-18T06:11:27
6;25171;Loan Convertible Massachusetts;2022-02-18T16:22:46
7;12884;Dong one-to-one;2022-02-18T04:19:26
8;3077;web-readiness Towels;2022-02-18T16:20:28
9;70305;input Metal;2022-02-18T03:46:24
10;13049;Pound models Officer;2022-02-18T16:31:51
